ci,na,co,lo,la,z
Vientiane,"(GMT+07:00) Bangkok, Hanoi, Jakarta",Laos,17.96666718,102.6166687,SE Asia Standard Time
Vila Real,"(GMT) Dublin, Edinburgh, Lisbon, London",Portugal,41.29999924,-7.733333111,GMT Standard Time
Vilnius,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Lithuania,54.68330383,25.31669617,FLE Standard Time
Visby,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Sweden,57.64083481,18.29611206,W. Europe Standard Time
Vishakhapatnam,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,17.73333359,83.30000305,India Standard Time
Vitoria,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",Spain,42.84999847,-2.666666746,Romance Standard Time
Vizianagaram,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,18.11388969,83.40944672,India Standard Time
Vladimir,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,56.15000153,40.36666489,Russian Standard Time
Vladivostok,(GMT+11:00) Vladivostok,Russia,43.13330078,131.8999939,Vladivostok Standard Time
Volgograd,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,48.80470276,44.58580017,Russian Standard Time
Vologda,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,59.21666718,39.86666489,Russian Standard Time
Volokolamsk,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,56.06666565,35.93333435,Russian Standard Time
Voronezh,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,51.71666718,39.26666641,Russian Standard Time
Votkinsk,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,57.05749893,53.99499893,Russian Standard Time
Waikanae,"(GMT+12:00) Auckland, Wellington",New Zealand,-40.87527847,175.0641632,New Zealand Standard Time
Waingapu,"(GMT+08:00) Kuala Lumpur, Singapore",Indonesia,-9.662777901,120.2669449,Singapore Standard Time
Wakkana,"(GMT+09:00) Osaka, Sapporo, Tokyo",Japan,45.40166855,141.682785,Tokyo Standard Time
Warrnambool,"(GMT+10:00) Canberra, Melbourne, Sydney",Australia,-38.38333511,142.4833374,AUS Eastern Standard Time
Warsaw,"(GMT+01:00) Sarajevo, Skopje, Warsaw, Zagreb",Poland,52.25,21,Central European Standard Time
"Washington, DC",(GMT-05:00) Eastern Time (US & Canada),United States,38.88333511,-77.03333282,Eastern Standard Time
Waterford,"(GMT) Dublin, Edinburgh, Lisbon, London",Ireland,52.25,-7.133333206,GMT Standard Time
"Waterloo, ON",(GMT-05:00) Eastern Time (US & Canada),Canada,43.53333282,-80.53333282,Eastern Standard Time
Wellington,"(GMT+12:00) Auckland, Wellington",New Zealand,-41.28333282,174.7832947,New Zealand Standard Time
"West Wendover, NV",(GMT-07:00) Mountain Time (US & Canada),United States,40.73916626,-114.0733337,Mountain Standard Time
"Westford, MA",(GMT-05:00) Eastern Time (US & Canada),United States,42.57916641,-71.4383316,Eastern Standard Time
"Whistler, BC",(GMT-08:00) Pacific Time (US & Canada); Tijuana,Canada,50.11666489,-122.9666672,Pacific Standard Time
"White Rock, BC",(GMT-08:00) Pacific Time (US & Canada); Tijuana,Canada,49.02388763,-122.8011093,Pacific Standard Time
"Whitehorse, YT",(GMT-08:00) Pacific Time (US & Canada); Tijuana,Canada,60.71972275,-135.0519409,Pacific Standard Time
"Wichita, KS",(GMT-06:00) Central Time (US & Canada),United States,37.70000076,-97.33333588,Central Standard Time
Willemstad,(GMT-04:00) La Paz,Curacao,12.10000038,-68.93333435,SA Western Standard Time
Windhoek,(GMT+01:00) Namibia,Namibia,-22.56666756,17.08333397,Namibia Standard Time
"Window Rock, AZ",(GMT-07:00) Mountain Time (US & Canada),United States,35.67277908,-109.0622253,Mountain Standard Time
"Windsor, ON",(GMT-05:00) Eastern Time (US & Canada),Canada,42.29277802,-82.9936142,Eastern Standard Time
"Winnipeg, MB",(GMT-06:00) Central Time (US & Canada),Canada,49.8955574,-97.13833618,Central Standard Time
"Winston-Salem, NC",(GMT-05:00) Eastern Time (US & Canada),United States,36.09472275,-80.24333191,Eastern Standard Time
Wodonga,"(GMT+10:00) Canberra, Melbourne, Sydney",Australia,-36.03333282,146.5666656,AUS Eastern Standard Time
Wollongong,"(GMT+10:00) Canberra, Melbourne, Sydney",Australia,-34.41666794,150.8666687,AUS Eastern Standard Time
Wuhan,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,30.59472275,114.3022232,China Standard Time
Xiamen,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,24.47972298,118.089447,China Standard Time
Xian,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,34.26666641,108.8833313,China Standard Time
Yakutsk,(GMT+10:00) Yakutsk,Russia,62.03390503,129.7330933,Yakutsk Standard Time
Yalta,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Ukraine,44.5,34.16666794,FLE Standard Time
Yamoussoukro,(GMT) Greenwich Mean Time,Cote d'Ivoire,6.816666603,-5.283333302,Greenwich Standard Time
Yantai,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,37.54999924,121.3666687,China Standard Time
Yaounde,(GMT+01:00) West Central Africa,Cameroon,3.866666555,11.51666641,W. Central Africa Standard Time
Yaroslavl,"(GMT+04:00) Moscow, St. Petersburg, Volgograd",Russia,57.59999847,39.84999847,Russian Standard Time
Yawnghwe,(GMT+06:30) Rangoon,Burma,20.65416718,96.93444824,Myanmar Standard Time
Yazd,(GMT+03:30) Tehran,Iran,31.89666748,54.36055374,Iran Standard Time
"Yellowknife, NT",(GMT-07:00) Mountain Time (US & Canada),Canada,62.45527649,-114.3691635,Mountain Standard Time
Yerevan,(GMT+04:00) Yerevan,Armenia,40.18110657,44.5,Caucasus Standard Time
Yevpatoriya,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Ukraine,45.21666718,33.38333511,FLE Standard Time
Yigo,"(GMT+10:00) Guam, Port Moresby",Guam,13.53333378,144.8999939,West Pacific Standard Time
Yokohama,"(GMT+09:00) Osaka, Sapporo, Tokyo",Japan,35.43333435,139.6499939,Tokyo Standard Time
Yokosuka,"(GMT+09:00) Osaka, Sapporo, Tokyo",Japan,35.25,139.6666718,Tokyo Standard Time
Yuzhno-Sakhalinsk,(GMT+11:00) Vladivostok,Russia,46.95000076,142.7333374,Vladivostok Standard Time
Zaandam,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Netherlands,52.43861008,4.825555325,W. Europe Standard Time
Zagreb,"(GMT+01:00) Sarajevo, Skopje, Warsaw, Zagreb",Croatia,45.79999924,15.96666622,Central European Standard Time
Zakynthos,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Greece,37.78333282,20.89666748,FLE Standard Time
Zaporozhye,"(GMT+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",Ukraine,47.84999847,35.15000153,FLE Standard Time
Zaragoza,"(GMT+01:00) Brussels, Copenhagen, Madrid, Paris",Spain,41.65000153,-0.883333325,Romance Standard Time
Zaysan,(GMT+06:00) Central Asia,Kazakhstan,47.46472168,84.87055206,Central Asia Standard Time
Zhengzhou,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,34.75,113.6666641,China Standard Time
Zhongshan,"(GMT+08:00) Beijing, Chongqing, Hong Kong, Urumqi",China,22.51666641,113.3927765,China Standard Time
Zihuatanejo,"(GMT-06:00) Guadalajara, Mexico City, Monterrey",Mexico,17.64444351,-101.5511093,Mexico Standard Time
Zupanja,"(GMT+01:00) Sarajevo, Skopje, Warsaw, Zagreb",Croatia,45.06916809,18.69722176,Central European Standard Time
Zurich,"(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",Switzerland,47.36666489,8.550000191,W. Europe Standard Time
